6		3.638	0.198	0.353	0.684	1.338	2.073
9		59.871	1.029	1.667	2.803	4.68	7.292
11		4.089	1.569	2.185	3.213	4.852	7.138
14		0.94	1.324	1.812	2.627	3.915	5.681
16		0.678	0.71	0.984	1.455	2.215	3.285
22		0.543	0.524	0.735	1.099	1.699	2.565
30		0.391	0.327	0.469	0.723	1.155	1.798
50		0.315	0.184	0.273	0.444	0.76	1.245
90		0.263	0.093	0.155	0.283	0.532	0.859
90		0.244	0.071	0.126	0.239	0.476	0.724
